Kecamatan,Desa,Link
BADAS,BRINGIN.xlsx,https://docs.google.com/spreadsheets/d/1-AF5vIgeCxAPG0mkJknRXYZEuNZYaiix/edit?usp=drivesdk&ouid=104228525934448629589&rtpof=true&sd=true
BADAS,LAMONG.xlsx,https://docs.google.com/spreadsheets/d/16Lc7ByNU7Mwea5tMxW0fSGZ5Jey9nEt3/edit?usp=drivesdk&ouid=104228525934448629589&rtpof=true&sd=true
BADAS,CANGGU.xlsx,https://docs.google.com/spreadsheets/d/17f85OQaGK2gapGmN3FkhvXkO1FdMsiYM/edit?usp=drivesdk&ouid=104228525934448629589&rtpof=true&sd=true
BADAS,KRECEK.xlsx,https://docs.google.com/spreadsheets/d/1Crz_S56eZ689p25eQ4unUNUHTaz5g16u/edit?usp=drivesdk&ouid=104228525934448629589&rtpof=true&sd=true
BADAS,SEKOTO.xlsx,https://docs.google.com/spreadsheets/d/1I--AykkZ3PQCHbVwGKro8dsCV-_B4iOp/edit?usp=drivesdk&ouid=104228525934448629589&rtpof=true&sd=true
BADAS,BADAS.xlsx,https://docs.google.com/spreadsheets/d/1dc3yc8Jnb92ldmuf-_Ub9JIMbEkRsPUU/edit?usp=drivesdk&ouid=104228525934448629589&rtpof=true&sd=true
BADAS,TUNGLUR.xlsx,https://docs.google.com/spreadsheets/d/1eEBDVClszeLpbgjazBJZ-i74Evv1KF1c/edit?usp=drivesdk&ouid=104228525934448629589&rtpof=true&sd=true
BADAS,BLARU.xlsx,https://docs.google.com/spreadsheets/d/1ns_UZeXOWEwJItqGPysbNEZcN9Hy-lsV/edit?usp=drivesdk&ouid=104228525934448629589&rtpof=true&sd=true
BANYAKAN,PARANG.xlsx,https://docs.google.com/spreadsheets/d/12Fq9Aq82Z8kCY9zwZj90yBq63-ldd_CD/edit?usp=drivesdk&ouid=104228525934448629589&rtpof=true&sd=true
BANYAKAN,JABON.xlsx,https://docs.google.com/spreadsheets/d/12cXkiPtLtIWMbWcsMEFWVdUqi3mnQ9Js/edit?usp=drivesdk&ouid=104228525934448629589&rtpof=true&sd=true
BANYAKAN,JATIREJO.xlsx,https://docs.google.com/spreadsheets/d/1A9Aq0gvL8Ai_sqNYPJuifKZVmfVVR2r4/edit?usp=drivesdk&ouid=104228525934448629589&rtpof=true&sd=true
BANYAKAN,MANYARAN.xlsx,https://docs.google.com/spreadsheets/d/1C8GogH4vtGTpXrmu7c78gp4XsaF6VXPf/edit?usp=drivesdk&ouid=104228525934448629589&rtpof=true&sd=true
BANYAKAN,SENDANG.xlsx,https://docs.google.com/spreadsheets/d/1HmLDylAiBm8D5cVwgJwNDdMzj9U0G_Qy/edit?usp=drivesdk&ouid=104228525934448629589&rtpof=true&sd=true
BANYAKAN,TIRON.xlsx,https://docs.google.com/spreadsheets/d/1IlFAC9XtEFqzCYFu1elHQ8n59W9jEJix/edit?usp=drivesdk&ouid=104228525934448629589&rtpof=true&sd=true
BANYAKAN,BANYAKAN.xlsx,https://docs.google.com/spreadsheets/d/1oCJt-7uDbLopYjVsycY3IO5QYl6tPg4e/edit?usp=drivesdk&ouid=104228525934448629589&rtpof=true&sd=true
BANYAKAN,NGABLAK.xlsx,https://docs.google.com/spreadsheets/d/1wWigzLaU6yAGJLcCP4ZF7zlURk-uOGq4/edit?usp=drivesdk&ouid=104228525934448629589&rtpof=true&sd=true
BANYAKAN,MARON.xlsx,https://docs.google.com/spreadsheets/d/1y6SYdHbbc2FRNFleGqYSvWj-v1CE61Ft/edit?usp=drivesdk&ouid=104228525934448629589&rtpof=true&sd=true
GROGOL,DATENGAN.xlsx,https://docs.google.com/spreadsheets/d/11tjWQ0zs97HOxZ7IYZISERVu7JY9MdIx/edit?usp=drivesdk&ouid=104228525934448629589&rtpof=true&sd=true
GROGOL,GAMBYOK.xlsx,https://docs.google.com/spreadsheets/d/1bmai07rAA5VlGtGh9UgCsGp_QDqKjCRY/edit?usp=drivesdk&ouid=104228525934448629589&rtpof=true&sd=true
GROGOL,SONOREJO.xlsx,https://docs.google.com/spreadsheets/d/1cK0bcAhAXj39pz90zUA0V6-8dGCPgmab/edit?usp=drivesdk&ouid=104228525934448629589&rtpof=true&sd=true
GROGOL,BAKALAN.xlsx,https://docs.google.com/spreadsheets/d/1gN7yMOwn7TMLRcW-8LJgAYDkzS4bWAeF/edit?usp=drivesdk&ouid=104228525934448629589&rtpof=true&sd=true
GROGOL,WONOASRI.xlsx,https://docs.google.com/spreadsheets/d/1mwAAOytj--SDOZErSTFLDm9R8vzbCP2Q/edit?usp=drivesdk&ouid=104228525934448629589&rtpof=true&sd=true
GROGOL,SUMBEREJO.xlsx,https://docs.google.com/spreadsheets/d/1tpii0PFmYjOK5pTT0s7aSg097DJSUgao/edit?usp=drivesdk&ouid=104228525934448629589&rtpof=true&sd=true
GROGOL,GROGOL.xlsx,https://docs.google.com/spreadsheets/d/1-QNqwinE_4imUP_AfgNAuEA--lqY-DFc/edit?usp=drivesdk&ouid=104228525934448629589&rtpof=true&sd=true
GROGOL,CERME.xlsx,https://docs.google.com/spreadsheets/d/1ICaPNrG0xShyodaILr1f4bLL_12lLixT/edit?usp=drivesdk&ouid=104228525934448629589&rtpof=true&sd=true
GROGOL,KALIPANG.xlsx,https://docs.google.com/spreadsheets/d/1JDs29REygn1KBrS8_gEUvbZKhmSm5-1E/edit?usp=drivesdk&ouid=104228525934448629589&rtpof=true&sd=true
NGASEM,NAMBAAN.xlsx,https://docs.google.com/spreadsheets/d/145WX77KlYJy3aonU6Nv_stINc6Yof4er/edit?usp=drivesdk&ouid=104228525934448629589&rtpof=true&sd=true
NGASEM,TUGUREJO.xlsx,https://docs.google.com/spreadsheets/d/15HyY85z_gomvZWa1qAqPf2xsL76soOd8/edit?usp=drivesdk&ouid=104228525934448629589&rtpof=true&sd=true
NGASEM,KARANGREJO.xlsx,https://docs.google.com/spreadsheets/d/1GYURYtOsnjO4-9xfBPqD_nQpTzR1tfxs/edit?usp=drivesdk&ouid=104228525934448629589&rtpof=true&sd=true
