Kecamatan,Desa,Link
NGASEM,KWADUNGAN,https://docs.google.com/spreadsheets/d/12gqjptRRbunlHwLKpJ_jAYkO8p06pQyI/edit
NGASEM,TOYORESMI,https://docs.google.com/spreadsheets/d/152TimzPApTKbUVQR9XxwHl9vJgrs-73h/edit
NGASEM,SUMBEREJO,https://docs.google.com/spreadsheets/d/152Uiea_6zFuxsyIvZSY1VQHkBaoVHmaG/edit
NGASEM,NAMBAAN,https://docs.google.com/spreadsheets/d/17TU8jZDt4BpxtJGqHLebs4Q0KdBY8drQ/edit
NGASEM,SUKOREJO,https://docs.google.com/spreadsheets/d/1-xNj-tdg0gaeGIaKn5RSHCTxKARbzLDB/edit
NGASEM,WONOCATUR,https://docs.google.com/spreadsheets/d/1FXcdSmOHfktTjoDQ5TrthyAJqzjQm2ml/edit
BADAS,SEKOTO,https://docs.google.com/spreadsheets/d/1W3SAIsNSHEIpEOJ87PNMxY5mwC8EDeym/edit
KAYEN KIDUL,KAYEN KIDUL,https://docs.google.com/spreadsheets/d/1KELEveq652RGQucyobs-Jzn4ESu197-8/edit
NGASEM,TUGUREJO,https://docs.google.com/spreadsheets/d/1LOMkBZnb0fifIrX8PvKeL9oGiGBn0-wN/edit
BADAS,CANGGU,https://docs.google.com/spreadsheets/d/1PNcP6esj19fCjIXehoGdvEoUclmcXoNR/edit
NGASEM,PARON,https://docs.google.com/spreadsheets/d/1_K4NjoV5acwbpGkfA4YPFWFuRA35zSm9/edit
NGASEM,GOGORANTE,https://docs.google.com/spreadsheets/d/1bTayyGpWaiM0B0OwC_UIJ5TySrera5Mo/edit
BADAS,LAMONG,https://docs.google.com/spreadsheets/d/1KYSi4mS0HUUrIa-Dr4_ddNknzjYywhox/edit
NGASEM,KARANGREJO,https://docs.google.com/spreadsheets/d/1dgygVGBXU7Fb-m6AEFNoR8WPfoVyD1Tc/edit
NGASEM,NGASEM,https://docs.google.com/spreadsheets/d/1fgfeODLAbEU-D1DK_dlcT2bcpWCBqiye/edit
BADAS,BRINGIN,https://docs.google.com/spreadsheets/d/1G9nP30UYmdrMekEx7CGvD8aXPj8y_Zzc/edit
NGASEM,DOKO,https://docs.google.com/spreadsheets/d/1hWAYa6ZQDZIlb6pM1gbgYb-OADPxRkit/edit
BADAS,BADAS,https://docs.google.com/spreadsheets/d/1qRWkWvg8-5eHWZsio9zmGNpTRPEsB343/edit
KAYEN KIDUL,PADANGAN,https://docs.google.com/spreadsheets/d/11BIG_tr8-Dhllc86ZYTTv2K6Yx0jfMOm/edit
KAYEN KIDUL,JAMBU,https://docs.google.com/spreadsheets/d/1BZ5ZFAWIowrb5D_LllBGGFaIS77Yh9aX/edit
BADAS,TUNGLUR,https://docs.google.com/spreadsheets/d/1eO1PsoGr-n0OEo8Pfa0jexZXbElIFEUT/edit
KAYEN KIDUL,NANGGUNGAN,https://docs.google.com/spreadsheets/d/1htvx01MguSLPzO6qjB8ADUAl0L1UFg2S/edit
BADAS,BLARU,https://docs.google.com/spreadsheets/d/1_0Oy9ljJWnQhu37kHVQIt35PJ5v-Un1W/edit
